timestamp,model_type,degree,alpha,MAE,MSE,R2
2025-04-22 11:33:53,ridge,1,1.0,1.1838,2.5602,0.8172
2025-04-22 11:34:01,ridge,2,1.0,1.3466,3.1758,0.7732
2025-04-22 11:39:37,ridge,2,1.0,1.3466,3.1758,0.7732
2025-04-22 11:40:22,ridge,2,1.0,1.3466,3.1758,0.7732
2025-04-22 11:40:38,ridge,1,1.0,1.1838,2.5602,0.8172
2025-04-22 11:42:47,ridge,1,1.0,1.1838,2.5602,0.8172
2025-04-22 11:42:56,ridge,2,1.0,1.3466,3.1758,0.7732
